"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"000225669X";"000225669X";"0099549611";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0006379702";"0006379702";"3442131340";"3548603203";"000225669X";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845"
"000651118X";"000651118X";"000225669X";"0006379702";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187";"0061007129"
"0006511929";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"002542730X";"002542730X";"0099414732";"0140154078";"0194216748";"0385504209";"0553275283";"0582530431";"063403541X";"1400002672";"840149236X";"8420432113"
"00273755";"00273755";"014366020444";"8496075850";"8804407808";"8804464895";"8807810751";"880781112X";"8817106100";"8817112917";"8833908488";"8838910987"
"0060002484";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060011939";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060094117";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060096195";"0060096195";"0141310340";"0142302198";"0156006065";"0375821813";"038076041X";"0439401399";"0552546933";"0689804458";"0699854289";"0786812508"
"0060505885";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060517794";"0060517794";"0671537458";"0679776818";"0943066433";"1885408226";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195"
"0060520507";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"006054094X";"006054094X";"0375706038";"081297106X";"0843951826";"1400032628";"1585861553";"000225669X";"0006379702";"000651118X";"002542730X";"00273755"
"0060542845";"0060542845";"0449148831";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060930187"
"0060595183";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060930187";"0060930187";"0375760911";"0689817851";"0874869870";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794"
"0060930934";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060951303";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0060964049";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0061000027";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0061007129";"0061007129";"000225669X";"0006379702";"000651118X";"002542730X";"00273755";"0060096195";"0060517794";"006054094X";"0060542845";"0060930187"
"0061054143";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
"0061054151";"000225669X";"0006379702";"000651118X";"0006511929";"002542730X";"00273755";"0060002484";"0060011939";"0060094117";"0060096195";"0060505885"
